242,Simple & Seamless Execution,,"Asset Based Pricing: Control Panel – Power Decision capability enabling second-phase bulk updates for efficient, large-scale pricing actions and governance.",Improved Productivity,FTE Efficiency,TBC,"FTE reduction
$0.5m  
We need a number of FTE reductions",Yes,Low,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,No,Athena - Uday,,,,
243,Structured to Earn,,"Unsuccessful Price Task Closures: Frequent failures due to system errors, unsupported logic, and technical limitations are preventing timely and accurate pricing task completion.

Surcharge Drop Issue: Surcharges initially applied during booking are being dropped at later stages in specific scenarios (acknowledhed by penny platform), leading to incorrect rate instances and revenue leakage.

Lack of Support for Commodity-Based Surcharge Exemptions: The pricing engine for Spot and Maersk Go does not accommodate local regulatory exemptions (e.g., INE not applicable for Cashew, Coffee, Cocoa, Rubber in Guinea; port surcharges exempted for essential goods in Cameroon). This results in manual post-booking adjustments (Manual efforts) , IQ impact, and customer disputes.

Incorrect Repricing After Inland Changes: When inland locations are added, removed, or changed on existing Spot bookings— after a carrier-initiated roll—the system often triggers incorrect repricing, leading to incorrect invoices and disputes",Invoice Quality - Ocean+ & DnD,"Revenue Leakage Prevention,",$0.5m,"IQ improvement: 0,05%",No,High,High,Global,Penny,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,M,Yes,Athena - Uday,,,,
244,Structured to Earn,,SSIB VAS - for mixed container size/type,EBIT update from platform work,Incremental or New Revenue EBIT,$0.5m,Incremental CY,,High,Low,Global,Order Handling platform,SSIB,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Ditte Jensen,,,Yes,Athena - Uday,,,,
245,Structured to Earn,,"Country specific charges restrictions to be displayed during booking journey to avoid disputes for pay terrm
Display PIC applicable rates instead of general disclaimer.",Invoice Quality - Ocean+ & DnD,"Revenue Leakage Prevention,",$0.3m,"IQ improvement: 0,01%",,High,Low,Global,Order Handling platform,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Ditte Jensen,,,Yes,Athena - Uday,,,,
246,Structured to Earn,,"Spot: Enrichment of customer documentation. Enable printing Spot terms, D&D deals, and penalty on booking confirmation pdf.",Invoice Quality - Ocean+ & DnD,"Revenue Leakage Prevention,",$0.2m,"IQ improvement: 0,01%",,High,Low,Global,Order Handling platform,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Ditte Jensen,,,No,Athena - Uday,,,,
247,Simple & Seamless Execution,,FVC exception management to be systemically codified instead of current manual process.,Improved Productivity,FTE Efficiency,$0.1m,FTE reduction,,High,High,Global,Delta,,,,Uday,Francisco Martin Robles,Uday Pandeya,,,Gokul,,,Yes,Athena - Uday,,,,
248,Simple & Seamless Execution,,Pricing Management: Agentic AI solution for value and non-value adding activities in pricing daily day.,Improved Productivity,FTE Efficiency,$0.1m,FTE reduction,,High,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,,Yes,Athena - Uday,,,,
249,Structured to Earn,,Product journey configuration: BSA overflows should only get Spot.,Modelship Top 11 PiP - Online ST LT,Incremental or New Revenue EBIT,$2m,Incremental CY,,High,High,Global,OIPO,,,,Uday,,,,,TBI,,,Yes,Athena - Uday,,,,
250,Simple & Seamless Execution,,Maersk Go digitize the sign up and the removal of customers from Maersk Go.,Modelship Top 11 PiP - Online ST LT,FTE Efficiency,$0.1m,FTE reduction,,High,High,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,,Yes,Athena - Uday,,,,
251,Simple & Seamless Execution,,"Asset Based Pricing - RFC, routing and search, conversion, downfall patterns from customer funnel.",Productivity,FTE Efficiency,$0.5m,FTE reduction,Yes,Low,Low,Global,Penny,,,,Barbara,Francisco Martin Robles,Uday Pandeya,,,Henrik ,,L,Yes,Athena - Uday,,,,
252,Structured to Earn,,"Expand Online Freetime Upsell: 
1. Export Freetime - Online upsell in the Bkg journey + LnS bundles; 
2. Cgnee Freetime - Post ETA upsell LnS bundles (Instant credit payments/direct debit); 
3. Automation of progressive FT pricing (linked to D&D tariff updates); 
4. Web = Maersk App features; 5. Currency calculator at M.com supports all currencies conversion (instant payments)",Increase Revenue,Incremental or New Revenue EBIT,$5m,Revenue,No,High,High,Global,Order Handling platform,SSDO,"M.com Shipment Details, SSED",NFTP,Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,"Timothy Lee, Denver D'silva",M,,Prachi,,,Yes  ,Athena - DnD Prachi,,,,
253,Structured to Earn,,Scale Export Contract Freetime Extension upsell and decrease Export Freedays,Increase Revenue,Incremental or New Revenue EBIT,$3m,Revenue,No,High,High,Global,Order Handling platform,Kronos ,NEAT,Kronos should have export D&D calculation capability so we do not build Athena solution with NEAT,Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,Shrikant,S,,Prachi,,,Yes,Athena - DnD Prachi,,,,
254,Structured to Earn,,"Optimized Freetime Pricing: 
1. Contract Freetime Pricing: system-generated pricing recommendations for Contract Freetime Extension; 
2. Replace current manual destination led ST pricing with automated sytematic solution; 
3. Optimization tool - market/competition benchmarking and patterns for pricing related to freight forecast- DTI VS FTEXT VS Tariff revenue -Xeneta/CTS commercial benchmarking.",Increase Revenue,Incremental or New Revenue EBIT,$5m,Revenue,No,High,High,Global,Athena,Athena,Prowess,,Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,"Shrikant, Avdhut, Lalitha",S,,Prachi,,,Yes,Athena - DnD Prachi,,,,
255,Structured to Earn,,VIP: Drive higher FFE growth per every USD spent through ROI-driven incentive optimization,Another Ocean theme,"Revenue Leakage Prevention,",$6m,Cost reduction,No,High,High,Global,Another,VIP governance ,,,Lina Barauskaite,Ausra Martinkute,na,S,,Shaurya,,L/XL,Yes,Athena - DnD Prachi,,,,
256,Structured to Earn,,"Waivers: Reduce waiver spent through system-controlled categorization and routing, and enhanced, insight-driven approval decisions.",Another Ocean theme,"Revenue Leakage Prevention,",$4.5m,Cost reduction,Yes,High,High,Global,Another,GAM ,,,Lina Barauskaite,Eligio Fanigliulo,Jennifer Azavedo,S,,Shaurya,,L/XL,Yes,Athena - DnD Prachi,,,,
257,Structured to Earn,,"Extend Tariffbenchmarking to other surcharges (basic, mandatory, conditional, behavioural and etc) with clear cost visibility and automated data updates with notifications to users (*Assuming that all the scope and geography is covered by tech release) ",Increase Revenue,Incremental or New Revenue EBIT,$100m,Revenue,Yes,Low,High,Global,Another,Tariff Benchmarking,,,Cavit Ilker,Sandeep Kumar Padhy / Eligio Fanigliulo,N/A,M,,Shaurya,,,Yes,Athena - DnD Prachi,,,,
258,Structured to Earn,,"Customer profitability visibility across all VAS, Surcharges, D&D
- Clear line of sight to customer D&D deals by country/location on FT granted, purchased, purchase price & penalty price per day afterward
- Visibility to D&D deals as they close during contracting to track progress
- Control account baseline and push DTI uplift for underperforming accounts",Commercial Accelerator,Incremental or New Revenue EBIT,TBC,Revenue,No,Low,Low,Global,Another,,,,Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,N/A,C,,Shaurya,,,,Athena - DnD Prachi,,,,
259,Structured to Earn,,Flexibility of adjusting surcharge triggers ie PCD Vs Discharge,Commercial Accelerator,"Revenue Leakage Prevention,",TBC,,,,,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
260,Structured to Earn,,Accruals posting in FBR basis POD as opposed to CBU,Ocean Digitization,Incremental or New Revenue EBIT,TBC,,,Low,High,Global,Another,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
261,Structured to Earn,,Make Ocean surcharge- RHI applicable to freight not just destination,Increase Revenue,"Revenue Leakage Prevention,",TBC,Reduction in Disputes,,High,High,EMEA only ,Athena,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
262,Structured to Earn,,Surcharge&DnD Rev/Vol split Ocean + LNS visibility - ROP indicators,Ocean Digitization,Incremental or New Revenue EBIT,TBC,,,,,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
263,Structured to Earn,,Bifurcate surcharge revenue in a trade P&L,Ocean Digitization,Revenue Enabler – EBIT,TBC,,,,,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
264,Structured to Earn,,Business Request: Develop reefer THC cost model (EUR) and add electricity related cost for (LAM) after electricity cost allocation confirmation (dnd vs THC),Surcharge Revenue budget & upseide,"Revenue Leakage Prevention,",TBC,"Global Reefer cost model in place
in Tariff BIM",No,Low,High,Global,"PowerBI, Tariff Benchmarking Tool",PowerBI,none,"visibility of cost details in STCY, alignment with d&d on free days",Prachi,TBC,"Leonie Wehrle, Cavit Ilker",,,Shaurya,,,yes,Athena - DnD Prachi,,,,
265,Structured to Earn,,Automated way (perhaps similar to VIP) to apply D&D waivers based on customer fulfilment of agreement,Loaded Volume,"Revenue Leakage Prevention,",TBC,Agreement Fulfillment or Alternatively Collections,,High,High,Global,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
266,Structured to Earn,,Clear line of sight to charge application,Increase Revenue,Revenue Enabler – EBIT,TBC,Revenue,,Low,High,Global,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
267,Structured to Earn,,Clear line of sight to cost by charge,Increase Revenue,Revenue Enabler – EBIT,TBC,Revenue,,Low,High,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
268,Structured to Earn,,"Clear line of sight for each existing surcharge, with total invoiced by month/year, by customer, by trade, application ratio, customer exceptions (including customers exemptions)",Increase Revenue,Revenue Enabler – EBIT,TBC,Revenue,,Low,High,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
269,Structured to Earn,,Automated container hold/release post-payment for outstanding live import demurrage,Ocean Digitization,Revenue Enabler – EBIT,TBC,,No,Low,High,NA only,Maersk.com,,,,Prachi,,,C,,Prachi,,,Yes,Athena - DnD Prachi,,,,
270,Simple & Seamless Execution,,Visibility to waiver types in Cube/FBR,Productivity,"Revenue Leakage Prevention,",TBC,Enables all D&D waiver related initiatives,No,Low,High,Global,Another,GAM ,,,Prachi,,,C,,Prachi,,,Yes,Athena - DnD Prachi,,,,
271,Simple & Seamless Execution,,"Shipment-level visibility on Case Management ""pre-invoice"" waivers/adjustments in D&D Cube, etc.",Productivity,"Revenue Leakage Prevention,",TBC,Enables all D&D waiver related initiatives,No,Low,Low,NA only,Order Handling platform,,,,Prachi,,,C,,Prachi,,,Yes,Athena - DnD Prachi,,,,
272,Structured to Earn,,Inclusion of THC cost actuals at terminal level into Benchmarking tool.,Increase Revenue,"Revenue Leakage Prevention,",TBC,"Revenue, THC Margin improvement",,Low,High,Global,,Tariff Benchmarking,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
273,Structured to Earn,,Inclusion of doc fees costs into Benchmarking Tool,Increase Revenue,"Revenue Leakage Prevention,",TBC,"Revenue, doc fee margin",,Low,High,Global,,Tariff Benchmarking,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
274,Structured to Earn,,Disrupting Colombia export market. Implement OHC in government regulated trade.,Surcharge Revenue budget & upseide,Incremental or New Revenue EBIT,TBC,Revenue,,High,High,LAM,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
275,Structured to Earn,,Visibility of actual positioning costs related to DRP/PIC,Ocean Digitization,"Revenue Leakage Prevention,",TBC,,,Low,Low,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
276,Structured to Earn,,Visibility of actual electricity/storage costs related to Freebies agreements,Ocean Digitization,"Revenue Leakage Prevention,",TBC,,,Low,Low,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
277,Structured to Earn,,"Maintenance of current existing Dashboards (e.g. PQC, Upgrade Costs)",Ocean Digitization,"Revenue Leakage Prevention,",TBC,,,Low,Low,,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
278,Fix the Foundation,,PCC application methodology improvement,Cost Reduction,Operational Cost Savings,TBC,Cost reduction,,High,High,Global,Athena,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
279,Structured to Earn,,LWC Application- PCD vs ETA at transshipment port,Another Ocean theme,"Revenue Leakage Prevention,",TBC,,,High,High,LAM,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
280,Fix the Foundation,,PQC cost reduction via enhanced vibility considering empty flows (import full and empty repositioning),Cost Reduction,Operational Cost Savings,TBC,Cost reduction,,Low,Low,Global,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
281,Simple & Seamless Execution,,New local freebie request tool for LAM,Improved Productivity,FTE Efficiency,TBC,"Improved processes, SLA and lower IQ issues",,Low,High,LAM,,,,,Prachi,,,,,TBI,,,,Athena - DnD Prachi,,,,
282,Structured to Earn,,PQC: identify cancelled shipments due to lack of container availability,Increase Revenue,Incremental or New Revenue EBIT,TBC,Revenue improvement,,High,High,LAM,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
283,Structured to Earn,,Include PQC in the benchmark tool,Increase Revenue,"Revenue Leakage Prevention,",TBC,Revenue improvement,,Low,Low,LAM,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
284,Structured to Earn,,Implementation of Late Gate and Late Documentation and other VAS,Increase Revenue,Incremental or New Revenue EBIT,TBC,Revenue improvement,,High,High,LAM,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
285,Fix the Foundation,,Enhanced plug in application where the benefits are made by shipper (Brazil),Cost Reduction,Operational Cost Savings,TBC,Cost reduction,,High,High,LAM,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
286,Structured to Earn,,"Manifest revenue from ""inclusive"" deals",Ocean Digitization,Revenue Enabler – EBIT,TBC,Revenue improvement,,Low,High,Global,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
287,Structured to Earn,,Further VAS automations,Ocean Digitization,"Revenue Leakage Prevention,",TBC,Revenue improvement,,High,High,Global,,,,,Prachi,,,,,Shaurya,,,,Athena - DnD Prachi,,,,
288,Structured to Earn,,"Target aged AR (6–12 months), fully accrued, using structured discount strategy (up to 50%)",Improve Collection – Pre-legal Campaign,Incremental or New Revenue EBIT,TBC,Cash recovered ($),,Low,High,LAM,,,,,Prachi,,,S,,Prachi,,,,Athena - DnD Prachi,,,,
289,Compelling Products,,Standardize FT packages for U trades to reduce pricing complexity and exceptions,ORA Packages – Free Time Simplification,Revenue Enabler – EBIT,TBC,% standard package adoption and  # exceptions reduced,,Low,High,LAM,,,,,Prachi,,,C,,Prachi,,,,Athena - DnD Prachi,,,,
290,Fix the Foundation,,Monitor and control FT EXT exception approvals,Contract D&D Exception Reduction,Revenue Enabler – EBIT,$1m ,Revenue improvement from reduced exception approval,No ,Low,High,Global,Athena,Athena,,Dependent on mature ocean journey and D&D offer sheet digitisation ,Prachi,,Shrikant,S,,Prachi,,,Yes,Athena - DnD Prachi,,,,
291,Fix the Foundation,,Define single enforceable SOP with clear ownership and timelines,LAM SOP (Longstanding Process),Revenue Enabler – EBIT,0,"Cycle time reduction
Value covered in waiver management",Yes,Low,High,LAM,,,,,Prachi,,,S,,Prachi,,,Yes,Athena - DnD Prachi,,,,
292,Fix the Foundation,,Standardize negotiation rules during crisis situations,Crisis Management SOP,Revenue Enabler – EBIT,TBC,"Revenue loss avoided during crisis and Waiver Ratio
Value in Process/Policy",Yes,High,High,LAM,,,,,Prachi,,,S,,Prachi,,,Yes,Athena - DnD Prachi,,,,
293,Fix the Foundation,,Adjust low per diem agreements (<USD 70) and enforce contracts,Special D&D Per Diem Cleaning,Revenue Enabler – EBIT,TBC,Avg. per diem increase and  Revenue uplift,,Low,High,LAM,,,,,Prachi,,,C,,Prachi,,,,Athena - DnD Prachi,,,,
294,Fix the Foundation,,Clean +45 day FT(POD LMA)  cases and enforce contract discipline,Free Time Extension Control,Revenue Enabler – EBIT,TBC,Revenue leakage reduced ($) and Contract compliance (%),,Low,High,LAM,,,,,Prachi,,,C,,Prachi,,,,Athena - DnD Prachi,,,,
295,Fix the Foundation,,Regulatory Approval flow for surcharge tariff increases,Carry-Over - Surcharges Price Setting,"Revenue Leakage Prevention,",0,"see last year
See Op26 intake",Yes,Low,Medium,see last year,see last year,see last year,see last year,see last year,Prachi,see last year,Victor Santos & Leonie Wehrle,,,Victor & Leonie,,,,Athena - DnD Prachi,,,,
296,Simple & Seamless Execution,,"Automated Price Setting, fully executable by regional product managers",Carry-Over - Surcharges Price Setting,FTE Reduction,0,"see last year
See Op26 intake",Yes,Low,High,see last year,see last year,see last year,see last year,see last year,Prachi,see last year,Victor Santos & Leonie Wehrle,,,Victor & Leonie,,,,Athena - DnD Prachi,,,,
297,,,Disputes Surcharge Approval flow to be enabled in CoPo,Linkage of Surcharge Waivers to CoPo,"Revenue Leakage Prevention,",$10m,"tbd, min. 10 M USD",,Low,Medium,,,,,,Prachi,,,,,Victor & Leonie,,,,Athena - DnD Prachi,,,,
298,Structured to Earn,,"All-In Visbility of rolled in Surcharges, Get visibility of rolled in revenue (THC and all other charges)",Carry-Over - Surcharges,"Revenue Leakage Prevention,",0,"see last year
See Op26 intake",Yes,Low,Medium,see last year,see last year,see last year,see last year,see last year,Prachi,see last year,Victor Santos & Leonie Wehrle,,,Victor,,,,Athena - DnD Prachi,,,,
299,Structured to Earn,,"Business Request: Terminal level visibility of THC Cost (must have), revenue if possible (nice to have) and margins both in PowerBI and Benchmarking Tool",Enhance THC Cost Visibility,"Revenue Leakage Prevention,",TBC,Improved cost visibility on terminal instead of country level,No,Low,Medium,Global,"PowerBI, Tariff Benchmarking Tool",PowerBI,TBC for cost data sourcing,Cost data granularity on platform,Prachi,TBC,"Leonie Wehrle, Cavit Ilker",,,Leonie,,,,Athena - DnD Prachi,,,,
300,Structured to Earn,,enable system alerts for updated competitor tariffs,Tariff Benchmarking,Revenue Enabler – EBIT,TBC,,,Low,Medium,,,,,,Prachi,,,,,Cavit,,,,Athena - DnD Prachi,,,,
301,Simple & Seamless Execution,,AFLS based surcharge tariff filing analytics reporting capability to be enabled in Athena,Surcharge Price Setting,FTE Hiring Avoidance,TBC,Athena capability to generate tariff filing analytics at least at the same quality as AFLS Surcharge Filing Analytics Tool,No,Low,Medium,Global,Athena,Athena,None,Athena,Prachi,TBC,Victor Santos & Leonie Wehrle,,,Victor & Leonie,,,,Athena - DnD Prachi,,,,
302,Fix the Foundation,,"Enhance solution in Kronos 2.0 to fix IQ issues and Disputes inflow reduction.
1. Advance Billing 
2.Non Programmable deals / Pre Audit solution for NAM
3. Proactive waiver management / Draft invoice solution for big disputing commercial waiver customers
4. Longstanding Billing solutions (Check with Lika) / Pre Invoice GAM approval / Service Delivery/exeption managment
5. DTI for LNS solutions
6. Double Storage billing solutions ( EUR- Ezgi ask), Seperate billing solution support from NFTP to bill Storage, Reefer plug in new Invocie type to customer. 
7. NAM VR Release services
8. Automation of NGA tools for Longstanding and PRV process",DnD Modernization - Kronos 2.0,Revenue Enabler – EBIT,"$1m

20 FTE","IQ improvement, reduction in Disputes Inflow, Revenue enhacement, FTe effeciency and turn around time

1. 10 FTE (GSC FTE + Area) ,  2% IQ benefit on Dnd IQ
2. 10 FTE (GSC FTE) , 0.15 % on Global IQ Impact
3. 5% all waiver type ( Ab36, Ab55 and AB 24), 20 Mn Waiver reduction, xx FTE benefit
4. 3.3% Invoice Accuracy of D&D service Failures (Ocean + L&S), XX FTE benefit 
5. XX Mn Need numbers from Aletha and Apa team
6. 1 Mn 
7. XX MN
8. Xx FTE benefit",No ,High,High,Global,"OPD, OHP, NFTP",Kronos / Athena,Athena / Kronos / NFTP/GCSS,Athena / Kronos / NFTP/GCSS,Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,"Denver D'silva; Raghuraman P J; Sean Chun Lei Fan ; Jennifer Azavedo; Cecilia Gomez Wrow, Gabriel Herdocia, Lovina ",M,,Prachi,,,Yes,Athena - DnD Prachi,,,,
303,Compelling Products,,"DnD Digitlisation of contract , spot, ORA, commodity and tariff filings in automated Journey - North Star",Ocean Digitization,Incremental or New Revenue EBIT,15 FTE,"IQ improvement, reduction in Disputes Inflow, FTe effeciency and turn around time
15 to 20 FTE 
We take the lowest number",Yes,High,High,Global,OPD,Athena,Kronos,Athena / Kronos,Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,Karthikeyan Muthuswamy; Anupama Mahato; Anish Nair VR ,M,,Prachi,,,Yes,Athena - DnD Prachi,,,,
304,Fix the Foundation,,"AFRI system validation on D&D
To create visibility of freetime & payment status for D&D charge in GCSS supported by Kronos
For Cash customers, 40–95% of D&D billing remains outstanding month-on-month and consistently migrates into long-ageing buckets, while Freight outstanding remains controlled. The root cause is the absence of payment enforcement at empty return, making D&D a post-service, unsecured receivable.",Ocean Digitization,"Revenue Leakage Prevention,",$714m,"Outstanding and Writeoff

* Cash Flow = +$59.5M/month released (~$714M/year)
* Improved Gate Control - 40% Gap Closure
* Write-off Reduction = XX M/year saved (credibility & practicality check)",No ,Low,High,Global,"OPD, OHP",GCSS,"KRONOS, SSDO,NFTP","NFTP, KRONOS, SSDO",Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,"Vaibhav Sharma/Lovina Cardoza, Satyam Singh,Prachi Yadav, Feroz Shaikh, Vinay Palencheri",M,,Prachi,,,Yes,Athena - DnD Prachi,,,,
305,Compelling Products,,"Automation with help of AI reports 
1. Automate 4 way Recon Reporting
2. Rewiring DND Navigator tool area featire requirements
3. DND cube automation
4. Aligning the logic of POD/POR for weekly revenue management - Use same shipment table to fetch the data as used in FBR
5. Update Trades and Route codes based on current network setup
6. Additional columns to improve visibility - Modelship / GL account Invoice number/CM number along with Posted date  Carrier Haulage/Merchant Haulage field
7.  Product Hierarchy Details - Include detailed product structure which is currently available in HB, with more specific categorization at the second and third levels. There is currently confusion regarding what comes from ORA or QBA, and this additional granularity will help clarify reporting
5. Fixed cube to extract previous year data of 2023, 2022, 2021 (just like FBR)",Productivity,Revenue Enabler – EBIT,0,"Revenue protection, Visbility and standardisation, reporting benefits
Enables all above initiatives for D&D",No ,Low,High,Global,OPD,Athena / Kronos / GCSS/NFTP/COMET,Athena / Kronos / GCSS/NFTP/COMET,Athena / Kronos / GCSS/NFTP/COMET,Prachi,Sandeep Kumar Padhy / Eligio Fanigliulo,"Denver D'silva; Raghuraman P J; Sean Chun Lei Fan ; Jennifer Azavedo; Cecilia Gomez Wrow, Gabriel Herdocia, Lovina ",M,,Prachi,,,Yes,Athena - DnD Prachi,,,,
306,Compelling Products,,Business Request: Re-evaluation of THC Gameplan exercise and execution (APA & EUR),THC Gameplan Exercise,Revenue Enabler – EBIT,TBC,Improved annual tariff setting exercise with more workable timelines and procurement input across regions,No,Low,Medium,Global,none,none,none,"CEN and regional procurement teams, their processes and internal timelines",Prachi,TBC,Leonie Wehrle,,,Shaurya,,,,Athena - DnD Prachi,,,,
307,Structured to Earn,,"Automated Calculations of Trade Factor, OD factor, Bunker and Emission Surcharge  (FFF/EMS/ECO) replacing manual spreadsheets; governed calculations feeding Athena and reporting.",Revenue Integrity & Scaling,Revenue at Risk-EBIT,$6m,"Leakage prevented; pricing accuracy; # manual corrections; audit findings

Compliance. Risk mitigation of manual error or wrong customer invoicing on USD 6-8 B of fuel surcharges.",Yes,Medium,Medium,Global,ET Platform / Athena,Athena / Emissions Workbench,"AFLS, SFDC, Energy Bank, Power BI","Data ownership, Athena integration, factor governance",Prachi,TBC,R. Rajan; J. Pueschel; Gabriela de Jesus Martin,M,,Ratish,,,yes,Athena - DnD Prachi,,,,
308,Compelling Products,,"Self-service portal for certificates, statements and extracts (customer + internal access from one governed source).",Customer Experience & Scalability,Revenue Enabler – EBIT,TBC,% self-service usage; manual requests; turnaround time; NPS,Yes,Medium,Medium,Global,Maersk.com / ET Platform,Emissions Workbench,"SFDC, Power BI, Energy Bank","Certificate data readiness, access model, templates",Prachi,TBC,J. Pueschel; Gabriela de Jesus Martin,S,,Shaurya,,,,Athena - DnD Prachi,,,,
309,Fix the Foundation,,OD-level pricing replacing trade-level approximations.,Pricing Accuracy,Revenue at Risk-EBIT,TBC,Pricing accuracy; audit findings,Yes,Medium,Medium,Global,ET Platform / Athena,Athena,"Energy Bank, SFDC",OD data availability,Prachi,TBC,R. Rajan; J. Pueschel; Gabriela de Jesus Martin,M,,Shaurya,,,,Athena - DnD Prachi,,,,
310,Structured to Earn,,Automated ECO invoicing and entity handling.,Invoice Accuracy,Revenue at Risk-EBIT,$2m,Invoice accuracy; disputes,Yes,Medium,Medium,Global,Finance / ET Platform,AFLS,"SFDC, Power BI",Finance integration,Prachi,TBC,J. Pueschel; Gabriela de Jesus Martin,S,,Shaurya,,,yes,Athena - DnD Prachi,,,,
311,Compelling Products,,"This initiative will introduce an Online Claims Portal on Maersk.com, enabling customers to submit claims through a guided, structured process, improving data quality and reducing missed notifications and legal exposure. It will also establish the foundation for Connected Claims by integrating claim submissions with operational and customer data via Salesforce and other platforms, accelerating triage and decision-making. The solution will streamline document collection, enable intelligence automation for low-value claims and claims analysis, and improve efficiency. Overall, it enhances customer experience, reduces risk, and supports growth of customer-centric offerings such as Value Protect and Cargo Insurance.",Online Claim Submission and AI claims handling of low value claims,Revenue Enabler – EBIT,$7.6m,"Success Measurement / KPI
(For eg. Invoice Accuracy)

(FPO submits FTE Efficiency $1.32M + Revenue Enabler - EBIT $7.6M) our assessment is that POC is needed",No,High,High,Global,Maersk.com,Maersk.com,GAM,Case management integration,Prachi,,"Swapnesh Mudliyar
Ewelina Andrzejewska",M,,Shaurya,,,"No for OP, yes for POC",Athena - DnD Prachi,,,,
312,Fix the Foundation,,Waivers: GAM approver management tool modernization,Compliance,"Revenue Leakage Prevention,",TBC,% reduction of approvals that had to be reassigned,No,Medium,High,Global,Another,GAM ,GAM & DAM matric,GAM & DAM matrix,Lina Barauskaite,TBC,Jennifer Azavedo,M,,Shaurya,,L/XL,yes,Athena - DnD Prachi,,,,
322,Structured to Earn,Platform Consolidation & Technical Simplification,Replace Stripe with BnP Paribas ,Digital Payments ,IT Cost Savings,TBC,"Stripe remains a high-cost payment solution, with elevated processing and FX fees, limiting cost efficiency and scalability across European markets.
1. Reduced high cost currently paid to STRIPE for card payments
2. Increased customer satisfaction
3. Cash Flow improveement
4.Reduced CPS
",No,High,High,EUR,"Payments, MyFinance, S4HANA","Payments, MyFinance, S4HANA",,Output is depended on customer uptake ,,TBD,Asraar Shaikh,M,,,Ema/Daniel K.,L,Yes,Tech Enabling OP doc,,,,
323,Fix the Foundation,Platform Consolidation & Technical Simplification,Inttra - Rework and Review,Decommission a System,IT Cost Savings,$5m,Inttra contract exited / decommissioned by 2027; top-customer Ocean volume migrated to Maersk/DCSA standard API or EDI; $5M annualised net contract savings realised (residual volume absorbed on SPOT/short-term).,No,High,High,Global,Another,Integration Middleware - INTTRA, ,Requires support from contract product teams to enable Inttra exit as part of the tender process. Binary scope: full migration or none - halving volume does not yield proportional contract savings. Must start in 2026 to allow a clean exit by the 2027 contract end date. Customer transition/adoption effort is the main risk. Tech effort minimal/contained: standard Maersk/DCSA API (developer portal) or EDI setup; bulk of effort is integration requirements clarification and testing. Tech teams: Integration team + potentially Saransh Kapur's team.,, ,Business Product Owner - Priyanka,S,,,Priyanka,L,Yes,Tech Enabling OP doc,,,,"<Manos/ Dinesh> Depending on the number of cutsomers to be decommisioned from INTRAA, the effort will vary between M to L"
